更新时间,#genre#
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV1,http://8.138.7.223/tv/mgitv.php?id=3$订阅源
CCTV1,http://8.138.7.223/tv/mgitv.php?id=4$订阅源
CCTV1,https://fmbox.cc/%E5%85%AC%E4%BC%97%E5%8F%B7%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/tv/douyu.php?c$订阅源
CCTV1,http://124.230.56.119:55555/udp/239.76.253.151:9000$订阅源
CCTV1,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-cctv1/1.m3u8$订阅源
CCTV1,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV1,http://222.129.139.229:8888/udp/239.3.1.129:8008$订阅源
CCTV1,http://123.113.249.203:8888/udp/239.3.1.129:8008$订阅源
CCTV1,http://221.213.69.82:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv$订阅源
CCTV1,http://123.138.22.30:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV1,http://14.112.86.101:4022/udp/239.77.1.17:5146$订阅源
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV1,http://59.173.183.242:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8$订阅源
CCTV1,http://8.138.7.223/tv/mgitv.php?id=2$订阅源
CCTV1,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8$订阅源
CCTV1,http://1732e975z9.zicp.fun:8082/hls/1/index.m3u8$订阅源
CCTV1,http://zisong2014.oicp.net:4022/udp/225.1.1.120:5002$订阅源
CCTV1,https://api.livednow.org/migu/608807420?sign=gAAAAABnJcJqONXJva4TySqKVwkHLHby6Ne_WRDndhTk_GS6KA-nBZI-nPc8RaYfnLJYnZOi1_gpZX90FSquN6BF0XzcOnsBN41Kfi9k-GihR8VqmFvGDaU3-w7RPpKH_jQp1rc5eqRkG97TL1ZanN0d0KISy_vT_x2wMEchVQyRwJVbcr-5Q8MDl1WIvSdo9b0tlPwCujaaYIRxzFT-4iEr-NoUcuO0hw%3D%3D$订阅源
CCTV1,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV1,http://101.23.216.69:8090/hls/9/index.m3u8$订阅源
CCTV1,http://58.19.244.92:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV1,http://59.173.183.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV1,http://58.48.37.158:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV1,http://183.94.146.109:2222/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV1,http://58.48.5.186:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV1,http://221.233.192.152:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV1,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV1,http://42.48.50.232:9002/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV1,http://mom.cloudns.be:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV1,http://59.173.243.210:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV1,http://113.218.204.28:8081/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV1,http://www.furymax.top:85/rtp/239.254.96.96:8550$组播源
CCTV1,http://221.221.167.14:8888/rtp/239.3.1.129:8008$组播源
CCTV1,http://221.221.162.225:8888/rtp/239.3.1.129:8008$组播源
CCTV1,http://123.112.19.67:8012/rtp/239.3.1.129:8008$组播源
CCTV1,http://111.192.0.32:4022/rtp/239.3.1.129:8008$组播源
CCTV1,http://123.113.189.90:8001/rtp/239.3.1.129:8008$组播源
CCTV1,http://115.60.241.249:2000/rtp/225.1.4.73:1102$组播源
CCTV1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$组播源
CCTV1,http://183.130.30.174:8808/rtp/233.50.201.118:5140$组播源
CCTV-2,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/cctv-2/1.m3u8
CCTV-2,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-8M-1080P-cctv2/1.m3u8
CCTV2,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000317/index.m3u8?IASHttpSessionId=$订阅源-IPv6-1920x1080
CCTV2,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000317/index.m3u8?IASHttpSessionId=$订阅源-IPv6-1920x1080
CCTV2,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000014161/1.m3u8?channel-id=wasusyt&Contentid=6000000001000014161&livemode=1&stbId=3$订阅源-IPv6
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8?$订阅源-IPv6
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:1a0a:df::4031]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225588/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221225588/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/$订阅源-IPv6
CCTV2,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010211/$订阅源-IPv6
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226676/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:74d9:21::6]:80/270000001128/9900000502/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000012442/index.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=3$订阅源-IPv6
CCTV2,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226676/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:1a01:df::406f]:80/wh7f454c46tw1241164675_1575082505/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8?icpid=88888888&RTS=1713968070&from=4&hms_devid=692&prioritypopid=4&online=1713968070&vqe=3$订阅源-IPv6
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000012442/1.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225588/2.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000005000031113/1.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8?$订阅源-IPv6
CCTV2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:74d9:21::9]/270000001128/index.m3u8?cmcc_cid=9900000502$订阅源-IPv6
CCTV2,http://[2409:8087:74d9:21::6]/270000001128/9900000502/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000023315/1.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$订阅源-IPv6
CCTV2,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000023315/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$订阅源-IPv6
CCTV2,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000317$订阅源-1920x1080
CCTV2,http://60.255.240.247:8090/live/CCTV-2H265.m3u8$订阅源-1920x1080
CCTV2,http://60.255.240.247:8090/live/CCTV-2H265_4000.m3u8$订阅源-1920x1080
CCTV2,http://120.0.52.162:8086/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://222.134.245.16:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://112.102.217.173:9003//hls/14/index.m3u8$订阅源
CCTV2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV2,http://223.166.234.19:7777/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://114.252.235.176:8000/udp/239.3.1.60:8084$订阅源
CCTV2,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226540/index.m3u8$订阅源
CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2$订阅源
CCTV2,http://61.136.67.238:50085/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://120.0.52.238:8086/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://60.7.56.33:4000/udp/239.253.92.190:6065$订阅源
CCTV2,http://222.241.154.37:9901/tsfile/live/23002_1.m3u8?key=txiptv$订阅源
CCTV2,http://223.166.234.215:7777/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://119.36.148.115:59901/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://58.220.219.14:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://110.52.244.53:9003//hls/2/index.m3u8$订阅源
CCTV2,http://123.166.61.70:8003/hls/12/index.m3u8$订阅源
CCTV2,http://222.129.139.91:8888/udp/239.3.1.60:8084$订阅源
CCTV2,http://59.173.243.210:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://42.48.50.232:9002/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://116.117.104.242:8096/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$订阅源
CCTV2,http://58.216.229.130:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://112.46.85.60:8009/hls/502/index.m3u8$订阅源
CCTV2,http://113.218.204.28:8081/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://124.230.56.27:55555/udp/239.76.253.152:9000$订阅源
CCTV2,http://116.117.104.39:8096/tsfile/live/0002_1.m3u8$订阅源
CCTV2,http://113.218.204.28:8081/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV2,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV2,http://183.94.146.109:2222/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV2,http://42.48.50.232:9002/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
CCTV2,http://58.48.37.158:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV2,http://58.19.244.92:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV2,http://mom.cloudns.be:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源
CCTV2,http://221.233.192.152:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV2,http://220.249.114.102:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV2,http://59.173.243.210:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV2,http://59.173.183.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV2,http://58.48.5.186:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV2,http://58.19.38.162:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV2,http://www.furymax.top:85/rtp/239.69.1.102:10250$组播源
CCTV2,http://115.60.241.249:2000/rtp/225.1.4.74:1103$组播源
CCTV2,http://123.113.189.90:8001/rtp/239.3.1.60:8084$组播源
CCTV2,http://222.129.139.91:8888/rtp/239.3.1.60:8084$组播源
CCTV2,http://221.221.167.14:8888/rtp/239.3.1.60:8084$组播源
CCTV2,http://123.112.19.67:8012/rtp/239.3.1.60:8084$组播源
CCTV2,http://60.164.128.167:8029/rtp/239.255.30.179:8231$组播源
CCTV2,http://60.7.56.33:4000/rtp/239.253.92.190:6065$组播源
CCTV2,http://111.192.0.32:4022/rtp/239.3.1.60:8084$组播源
CCTV2,http://coolcat.synology.me:4022/rtp/239.3.1.60:8084$组播源
CCTV2,http://183.130.30.174:8808/rtp/233.50.201.119:5140$组播源
CCTV3,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/HD-4000k-1080P-cctv3/1.m3u8$订阅源
CCTV3,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000371/index.m3u8?IASHttpSessionId=$订阅源-IPv6-1920x1080
CCTV3,http://[2409:8087:3c02:21:0:1:0:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000359/index.m3u8?IASHttpSessionId=$订阅源-IPv6-1920x1080
CCTV3,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000371/index.m3u8?IASHttpSessionId=$订阅源-IPv6-1920x1080
CCTV3,http://[2409:8087:3c02:0021:0000:0001:0000:100a]:6410/shandong_cabletv.live.zte.com////CHANNEL00000359/index.m3u8?IASHttpSessionId=$订阅源-IPv6-1920x1080
CCTV3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a0a:df::404b]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000022313/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022313&livemode=1&stbId=3$订阅源-IPv6
CCTV3,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010212/$订阅源-IPv6
CCTV3,http://[2409:8087:1a0a:df::4038]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a0a:df::4031]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a01:df::4041]/TVOD/88888888/224/3221225799/main.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/$订阅源-IPv6
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a01:df::4041]:80/TVOD/88888888/224/3221225799/main.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:74d9:21::9]:80/270000001128/index.m3u8?cmcc_cid=9900000003$订阅源-IPv6
CCTV3,http://[2409:8087:74d9:21::9]/270000001128/index.m3u8?cmcc_cid=9900000003$订阅源-IPv6
CCTV3,http://[2409:8087:74d9:21::6]:80/270000001128/9900000003/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221226021/2.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a0a:df::404e]:80/wh7f454c46tw1306766403_-33994166/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8?icpid=88888888&RTS=1713968135&from=4&hms_devid=1208&online=1713968135&vqe=3$订阅源-IPv6
CCTV3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000011218/1.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a0a:df::404e]:80/wh7f454c46tw1306766403_-33994166/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:74d9:21::6]/270000001128/9900000003/index.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8$订阅源-IPv6
CCTV3,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8$订阅源-IPv6
CCTV3,http://60.255.240.247:8090/live/CCTV-3H265_4000.m3u8$订阅源-1920x1080
CCTV3,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000371$订阅源-1920x1080
CCTV3,http://fmbox.cc/公众号玉玉软件库/iptv6.php?id=00000359$订阅源-1920x1080
CCTV3,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8?$订阅源
CCTV3,http://101.23.216.69:8090/hls/11/index.m3u8$订阅源
CCTV3,http://fangke.blueswords.com:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://ha.xushining.com:50000/udp/225.1.1.158:5002$订阅源
CCTV3,http://58.216.229.130:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://223.166.234.19:7777/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://zisong2014.oicp.net:4022/udp/225.1.1.158:5002$订阅源
CCTV3,http://218.89.240.144:59901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://114.252.238.87:8000/udp/239.3.1.172:8001$订阅源
CCTV3,http://58.17.48.228:808/hls/3/index.m3u8$订阅源
CCTV3,http://222.218.158.198:8181/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://114.252.235.176:8000/udp/239.3.1.172:8001$订阅源
CCTV3,http://60.12.183.46:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV3,http://121.33.239.242:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://59.173.243.210:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://58.248.112.230:8114/GD.m3u8?Authinfo=nHYPQU3R6cXKOUxDHAdELGBv9bdvvKMmZZSTEIXEacdaevUI28cmqLdqaFQ9Ur26&Fsv_cid=18137&FvSeid=36443239&Fsv_ctype=LIVES&Fsv_chan_hls_se_idx=&Provider_id=GD_CUCC&Pcontent_id=G_CCTV-3-CQ$订阅源
CCTV3,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV3,http://116.117.104.29:8096/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://111.196.129.152:20000/udp/239.3.1.172:8001$订阅源
CCTV3,http://8.138.7.223/tv/mgitv.php?id=15$订阅源
CCTV3,http://111.14.181.15:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV3,http://27.11.254.67:8002/udp/225.0.4.142:7980$订阅源
CCTV3,http://223.12.13.231:8082/udp/239.1.1.9:8009$订阅源
CCTV3,http://222.129.139.229:8888/udp/239.3.1.172:8001$订阅源
